"","count.P"
"204883_s_at",114
"204927_at",130
"204942_s_at",129
"204977_at",130
"204989_s_at",128
"204990_s_at",130
"205004_at",127
"205079_s_at",121
"205084_at",120
"205099_s_at",129
"205145_s_at",130
"205181_at",118
"205301_s_at",130
"205810_s_at",130
"205823_at",130
"205938_at",130
"205949_at",130
"206018_at",98
"206019_at",100
"206174_s_at",129
"206181_at",124
"206218_at",130
"206228_at",126
"206261_at",110
"206282_at",125
"206293_at",109
"206322_at",119
"206328_at",130
"206370_at",107
"206424_at",130
"206428_s_at",124
"206501_x_at",122
"206506_s_at",130
"206511_s_at",130
"206718_at",121
"206948_at",103
"206973_at",126
"207075_at",125
"207104_x_at",117
"207126_x_at",106
"207147_at",121
"207150_at",102
"207185_at",116
"207208_at",130
"207215_at",124
"207237_at",99
"207275_s_at",127
"207338_s_at",118
"207381_at",130
"207397_s_at",119
"207450_s_at",113
"207475_at",130
"207658_s_at",105
"207702_s_at",101
"207703_at",130
"207704_s_at",130
"207705_s_at",130
"207707_s_at",130
"207709_at",130
"207710_at",98
"207713_s_at",124
"207716_at",130
"207717_s_at",130
"207718_x_at",130
"207721_x_at",125
"207723_s_at",100
"207725_at",130
"207726_at",127
"207732_s_at",130
"207737_at",122
"207738_s_at",130
"207741_x_at",130
"207742_s_at",130
"207747_s_at",130
"207748_at",124
"207749_s_at",130
"207752_x_at",116
"207753_at",128
"207754_at",130
"207758_at",130
"207759_s_at",130
"207764_s_at",114
"207773_x_at",106
"207782_s_at",100
"207785_s_at",130
"207786_at",130
"207787_at",130
"207788_s_at",116
"207792_at",130
"207796_x_at",100
"207801_s_at",130
"207804_s_at",128
"207822_at",129
"207826_s_at",102
"207832_at",130
"207835_at",122
"207839_s_at",130
"207856_s_at",116
"207857_at",106
"207858_s_at",130
"207870_at",124
"207872_s_at",99
"207884_at",114
"207907_at",130
"207908_at",130
"207916_at",101
"207917_at",130
"207923_x_at",117
"207931_s_at",126
"207935_s_at",119
"207937_x_at",108
"207949_s_at",124
"207955_at",111
"207956_x_at",130
"207968_s_at",125
"207977_s_at",130
"207978_s_at",116
"208004_at",127
"208023_at",126
"208031_s_at",119
"208038_at",125
"208050_s_at",103
"208062_s_at",122
"208064_s_at",119
"208093_s_at",102
"208098_at",130
"208148_at",115
"208166_at",127
"208190_s_at",129
"208191_x_at",121
"208201_at",130
"208202_s_at",107
"208214_at",130
"208225_at",121
"208227_x_at",129
"208234_x_at",127
"208311_at",127
"208335_s_at",110
"208361_s_at",129
"208385_at",125
"208475_at",122
"208668_x_at",102
"208688_x_at",118
"208733_at",98
"208750_s_at",114
"208909_at",124
"209304_x_at",127
"209341_s_at",123
"209563_x_at",128
"209754_s_at",108
"209779_at",130
"209958_s_at",130
"210064_s_at",103
"210800_at",120
"210841_s_at",124
"210914_at",115
"210922_at",128
"210982_s_at",123
"211006_s_at",119
"211019_s_at",130
"211051_s_at",104
"211065_x_at",127
"211355_x_at",117
"211476_at",103
"211532_x_at",98
"211573_x_at",129
"211574_s_at",130
"211575_s_at",130
"211576_s_at",116
"211577_s_at",129
"211580_s_at",130
"211581_x_at",103
"211582_x_at",130
"211587_x_at",130
"211592_s_at",125
"211593_s_at",125
"211594_s_at",106
"211600_at",125
"211604_x_at",114
"211709_s_at",130
"211715_s_at",120
"211721_s_at",130
"211797_s_at",128
"211805_s_at",130
"211831_s_at",127
"211836_s_at",126
"211846_s_at",105
"211849_s_at",121
"211887_x_at",130
"211904_x_at",130
"211908_x_at",108
"211909_x_at",108
"211911_x_at",130
"211919_s_at",105
